"","frug_family","frug","body_mass","gape_size","bodylog","passagetime"
"1","Cotingidae","Tityra cayana",68.1,16.6,4.22097721315547,29.025945606218
"2","Ramphastidae","Ramphastos dicolorus",331,30.7,5.80211837537706,61.576889578006
"3","Fringillidae","Euphonia violacea",15,6.9,2.70805020110221,14.1334000625966
"4","Ramphastidae","Selenidera maculirostris",164,25,5.0998664278242,44.0906887057991
"5","Trogonidae","Trogon surrucura",73.3,17.5,4.29456060889261,30.0598769932605
"6","Trogonidae","Trogon viridis",89.7,20.5,4.49647076906475,33.0900711951694
"7","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"8","Fringillidae","Euphonia violacea",15,6.9,2.70805020110221,14.1334000625966
"9","Thraupidae","Thraupis sayaca",32.5,8.9,3.48124008933569,20.4160557324382
"10","Cotingidae","Tityra cayana",68.1,16.6,4.22097721315547,29.025945606218
"11","Cracidae","Aburria jacutinga",1250,19.1,7.13089883029635,115.855476135619
"12","Thraupidae","Tangara seledon",18.7,6.1,2.92852352386054,15.6961060343566
"13","Trogonidae","Trogon viridis",89.7,20.5,4.49647076906475,33.0900711951694
"14","Thraupidae","Thraupis palmarum",39,8.3,3.66356164612965,22.265668607451
"15","Cotingidae","Tityra cayana",68.1,16.6,4.22097721315547,29.025945606218
"16","Trogonidae","Trogon viridis",89.7,20.5,4.49647076906475,33.0900711951694
"17","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"18","Ramphastidae","Selenidera maculirostris",164,25,5.0998664278242,44.0906887057991
"19","Thraupidae","Thraupis sayaca",32.5,8.9,3.48124008933569,20.4160557324382
"20","Thraupidae","Thraupis palmarum",39,8.3,3.66356164612965,22.265668607451
"21","Cotingidae","Tityra cayana",68.1,16.6,4.22097721315547,29.025945606218
"22","Trogonidae","Trogon viridis",89.7,20.5,4.49647076906475,33.0900711951694
"23","Fringillidae","Euphonia violacea",15,6.9,2.70805020110221,14.1334000625966
"24","Cracidae","Aburria jacutinga",1250,19.1,7.13089883029635,115.855476135619
"25","Cotingidae","Tityra cayana",68.1,16.6,4.22097721315547,29.025945606218
"26","Thraupidae","Thraupis palmarum",39,8.3,3.66356164612965,22.265668607451
"27","Thraupidae","Tangara cyanocephala",18,5.2,2.89037175789616,15.4138294984327
"28","Thraupidae","Tangara seledon",18.7,6.1,2.92852352386054,15.6961060343566
"29","Thraupidae","Tangara seledon",18.7,6.1,2.92852352386054,15.6961060343566
"30","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"31","Ramphastidae","Baillonius bailloni",146,23.6,4.98360662170834,41.7186252351663
"32","Ramphastidae","Selenidera maculirostris",164,25,5.0998664278242,44.0906887057991
"33","Thraupidae","Thraupis palmarum",39,8.3,3.66356164612965,22.265668607451
"34","Thraupidae","Thraupis sayaca",32.5,8.9,3.48124008933569,20.4160557324382
"35","Ramphastidae","Ramphastos dicolorus",331,30.7,5.80211837537706,61.576889578006
"36","Cotingidae","Tityra cayana",68.1,16.6,4.22097721315547,29.025945606218
"37","Cotingidae","Tityra cayana",68.1,16.6,4.22097721315547,29.025945606218
"38","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"39","Trogonidae","Trogon viridis",89.7,20.5,4.49647076906475,33.0900711951694
"40","Trogonidae","Trogon viridis",89.7,20.5,4.49647076906475,33.0900711951694
"41","Turdidae","Turdus albicollis",54,11.1,3.98898404656427,25.9932953670715
"42","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"43","Trogonidae","Trogon viridis",89.7,20.5,4.49647076906475,33.0900711951694
"44","Thraupidae","Thraupis palmarum",39,8.3,3.66356164612965,22.265668607451
"45","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"46","Thraupidae","Thraupis sayaca",32.5,8.9,3.48124008933569,20.4160557324382
"47","Ramphastidae","Ramphastos vitellinus",343.5,30.1,5.8391871116624,62.6722647984913
"48","Ramphastidae","Ramphastos dicolorus",331,30.7,5.80211837537706,61.576889578006
"49","Ramphastidae","Ramphastos dicolorus",331,30.7,5.80211837537706,61.576889578006
"50","Ramphastidae","Ramphastos dicolorus",331,30.7,5.80211837537706,61.576889578006
"51","Fringillidae","Euphonia chlorotica",11,6.1,2.39789527279837,12.194808882872
"52","Cotingidae","Procnias nudicollis",200,23.6,5.29831736654804,48.4554666998556
"53","Thraupidae","Tangara seledon",18.7,6.1,2.92852352386054,15.6961060343566
"54","Turdidae","Turdus albicollis",54,11.1,3.98898404656427,25.9932953670715
"55","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"56","Cotingidae","Procnias nudicollis",200,23.6,5.29831736654804,48.4554666998556
"57","Turdidae","Turdus albicollis",54,11.1,3.98898404656427,25.9932953670715
"58","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"59","Thraupidae","Tangara seledon",18.7,6.1,2.92852352386054,15.6961060343566
"60","Turdidae","Turdus albicollis",54,11.1,3.98898404656427,25.9932953670715
"61","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"62","Thraupidae","Thraupis sayaca",32.5,8.9,3.48124008933569,20.4160557324382
"63","Turdidae","Turdus albicollis",54,11.1,3.98898404656427,25.9932953670715
"64","Trogonidae","Trogon surrucura",73.3,17.5,4.29456060889261,30.0598769932605
"65","Trogonidae","Trogon viridis",89.7,20.5,4.49647076906475,33.0900711951694
"66","Turdidae","Turdus albicollis",54,11.1,3.98898404656427,25.9932953670715
"67","Ramphastidae","Selenidera maculirostris",164,25,5.0998664278242,44.0906887057991
"68","Ramphastidae","Ramphastos vitellinus",343.5,30.1,5.8391871116624,62.6722647984913
"69","Thraupidae","Thraupis palmarum",39,8.3,3.66356164612965,22.265668607451
"70","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"71","Turdidae","Turdus albicollis",54,11.1,3.98898404656427,25.9932953670715
"72","Ramphastidae","Ramphastos vitellinus",343.5,30.1,5.8391871116624,62.6722647984913
"73","Trogonidae","Trogon surrucura",73.3,17.5,4.29456060889261,30.0598769932605
"74","Thraupidae","Thraupis palmarum",39,8.3,3.66356164612965,22.265668607451
"75","Ramphastidae","Ramphastos vitellinus",343.5,30.1,5.8391871116624,62.6722647984913
"76","Cracidae","Penelope obscura",1770,22.3,7.47873482556787,136.701209383721
"77","Turdidae","Turdus albicollis",54,11.1,3.98898404656427,25.9932953670715
"78","Turdidae","Turdus albicollis",54,11.1,3.98898404656427,25.9932953670715
"79","Ramphastidae","Ramphastos dicolorus",331,30.7,5.80211837537706,61.576889578006
"80","Fringillidae","Euphonia chlorotica",11,6.1,2.39789527279837,12.194808882872
"81","Trogonidae","Trogon viridis",89.7,20.5,4.49647076906475,33.0900711951694
"82","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"83","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"84","Cracidae","Penelope obscura",1770,22.3,7.47873482556787,136.701209383721
"85","Cotingidae","Procnias nudicollis",200,23.6,5.29831736654804,48.4554666998556
"86","Ramphastidae","Ramphastos dicolorus",331,30.7,5.80211837537706,61.576889578006
"87","Turdidae","Turdus rufiventris",69.5,13.3,4.24132675257075,29.3082694073246
"88","Thraupidae","Thraupis sayaca",32.5,8.9,3.48124008933569,20.4160557324382
"89","Cracidae","Aburria jacutinga",1250,19.1,7.13089883029635,115.855476135619
"90","Turdidae","Turdus albicollis",54,11.1,3.98898404656427,25.9932953670715
"91","Turdidae","Turdus albicollis",54,11.1,3.98898404656427,25.9932953670715
"92","Thraupidae","Thraupis sayaca",32.5,8.9,3.48124008933569,20.4160557324382
"93","Ramphastidae","Ramphastos dicolorus",331,30.7,5.80211837537706,61.576889578006
